Modèle,AIC,MAPE,RMSE,MSE,MAE
"(1, 1, 1)(0, 1, 0, 6)",-230.32810596367872,5.356410676485549,2200.1965888602467,4840865.029632265,1660.754401534048
"(1, 1, 1)(0, 1, 0, 12)",-261.225752700543,5.65758390479842,2234.536489284943,4993153.321945878,1756.042823727771
"(1, 1, 1)(0, 1, 1, 6)",-267.42348455608663,5.139569613522337,2046.3484778744898,4187542.0928992415,1598.5981067765958
"(1, 1, 1)(0, 1, 1, 12)",-239.192968007192,5.38541889000934,2123.7053997015173,4510124.624721382,1674.6468004703265
"(1, 1, 1)(0, 1, 2, 6)",-250.37646665308137,5.706020377163614,2212.3639645045087,4894554.311438107,1767.1667402444682
"(1, 1, 1)(1, 0, 0, 6)",-252.30289285774052,4.163175459857573,1689.1431651019261,2853204.6322105527,1296.4678510917386
"(1, 1, 1)(1, 0, 0, 12)",-268.33974326863904,5.0891487979634,2007.8141651346305,4031317.7217152733,1580.6922174754109
"(1, 1, 1)(1, 0, 1, 6)",-283.68061630284325,5.203083318705919,2069.9685224390005,4284769.683888299,1618.0539475389103
"(1, 1, 1)(1, 0, 1, 12)",-285.0343959716065,5.433079693312296,2143.1499913893776,4593091.88559229,1689.5160461067326
"(1, 1, 1)(1, 0, 2, 6)",-267.07141126443196,5.566073122488816,2158.2819492575213,4658180.972490845,1723.9547691719156
"(1, 1, 1)(1, 0, 2, 12)",2439.3763160941553,22.275917609425452,7367.180337504468,54275346.12531245,6992.900667222114
"(1, 1, 1)(1, 1, 0, 6)",-271.41868357888444,5.42739233835848,2168.245548714689,4701288.759521063,1684.4807439685533
"(1, 1, 1)(1, 1, 0, 12)",-238.83682196896476,6.175484040531322,2381.122323643888,5669743.52015527,1913.54074826739
"(1, 1, 1)(1, 1, 1, 6)",-276.65563441544316,5.571085128309925,2168.1813332875927,4701010.294016763,1727.4917183609323
"(1, 1, 1)(1, 1, 1, 12)",-237.13411102688875,5.889093879929779,2287.8907731361664,5234444.189801606,1826.6446956960224
"(1, 1, 1)(1, 1, 2, 6)",-265.202621086644,5.348536609063961,2115.6670676430217,4476047.141109223,1662.2676855289076
"(1, 1, 1)(2, 0, 0, 6)",-270.1028354778346,5.127680119155762,2040.5198139697036,4163721.1112029534,1591.8700886256352
"(1, 1, 1)(2, 0, 0, 12)",-236.95718037454216,5.955414482060535,2294.010284841527,5262483.186958704,1845.7475526508522
"(1, 1, 1)(2, 0, 1, 6)",-275.2955480405851,5.627716033361173,2189.8583258625267,4795479.487349429,1744.6642002624742
"(1, 1, 1)(2, 0, 1, 12)",-238.24121418281618,5.8468057561195454,2268.4080371130067,5145675.022838884,1813.1681581635253
"(1, 1, 1)(2, 0, 2, 6)",-284.40707643723016,5.526030923841496,2198.8051156483957,4834743.936601554,1718.2800813756267
"(1, 1, 1)(2, 0, 2, 12)",2382.9567227987227,93930.42376428215,53224111.23737079,2832806017008019.5,29170951.81558362
"(1, 1, 1)(2, 1, 0, 6)",-253.97195704687692,5.411452531629024,2149.0824986996745,4618555.586217236,1678.1868891636036
"(1, 1, 1)(2, 1, 0, 12)",-191.0460056546653,5.887851090107494,2275.8807226645913,5179633.063796301,1825.8430361941128
"(1, 1, 1)(2, 1, 1, 6)",-255.34027281892838,5.562439621987498,2170.6110381481813,4711552.278930725,1724.933358394207
"(1, 1, 1)(2, 1, 1, 12)",-189.3481533017916,5.911928970493087,2282.2155325352437,5208507.736945126,1832.9097921659222
"(1, 1, 1)(2, 1, 2, 6)",-258.8332221245689,5.3671638379013125,2113.489559544016,4466838.11830156,1667.647432432846
"(1, 1, 2)(0, 0, 0, 6)",-247.62792713196606,3.6980752958755714,1572.0425205113365,2471317.686295636,1157.416723458103
"(1, 1, 2)(0, 0, 0, 12)",-247.62792713196606,3.6980752958755714,1572.0425205113365,2471317.686295636,1157.416723458103
"(1, 1, 2)(0, 0, 1, 6)",-236.8396699917302,4.701869840253335,1714.5706177641694,2939752.4033002057,1453.5649891447151
"(1, 1, 2)(0, 0, 1, 12)",-229.81225230299341,4.548058875393773,1748.5662662170375,3057483.9873521915,1410.673408685765
"(1, 1, 2)(0, 0, 2, 6)",-229.74979953098148,4.4987465545659715,1752.167183142054,3070089.8376799603,1395.279246603237
